Path,Sample,ReferenceGenome,ProviderName,Subject,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:107-Stp-Fo6-1_t07,Pacnes_C1,S503N721,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:193-Scr-clCh-3_t07,Pacnes_C1,S504N719,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:189-Scr-crCh-3_t07,Pacnes_C1,S503N719,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:105-Stp-Fo3-2_t07,Pacnes_C1,S501N718,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:193-Scr-clCh-1_t07,Pacnes_C1,S504N717,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:189-Scr-crCh-1_t07,Pacnes_C1,S503N717,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:103-Stp-Fo2-3_t07,Pacnes_C1,S504N716,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:123-Stp-Lc12-3_t07,Pacnes_C1,S502N716,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:119-Stp-Lc12-3_t07,Pacnes_C1,S503N715,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:113-Stp-Lc9-3_t07,Pacnes_C1,S501N715,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:192-Scr-clCh-2_t07,Pacnes_C1,S506N714,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:188-Scr-ccCh-2_t07,Pacnes_C1,S503N714,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:123-Stp-Lc12-1_t07,Pacnes_C1,S502N714,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:113-Stp-Lc9-1_t07,Pacnes_C1,S501N713,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,B:304-Scr-Lc-1_t11,Pacnes_C1,N724S514,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,B:311-Scr-ccCh-1_t11,Pacnes_C1,N724S513,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,B:307-Scr-crNo-5_t11,Pacnes_C1,N714S509,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,B:302-Scr-Fo-3_t11,Pacnes_C1,N722S516,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,B:302-Scr-Fo-4_t11,Pacnes_C1,N721S516,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,B:302-Scr-Fo-5_t11,Pacnes_C1,N720S516,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,B:311-Scr-ccCh-5_t11,Pacnes_C1,N720S513,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,B:302-Scr-Fo-6_t11,Pacnes_C1,N719S516,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,B:309-Scr-trBa-1_t11,Pacnes_C1,N718S515,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,B:306-Scr-clCh-1_t11,Pacnes_C1,N718S511,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,B:307-Scr-crNo-2_t11,Pacnes_C1,N717S509,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,B:306-Scr-clCh-6_t11,Pacnes_C1,N713S511,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,B:307-Scr-crNo-3_t11,Pacnes_C1,N716S509,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2015_Pool1/split,B:074-Scr-tlBa-2_t00,Pacnes_C1,N707S511,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2015_Pool2/split,B:089-Ext-clChBs-4_t00,Pacnes_C1,N708S524,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2015_Pool2/split,B:089-Ext-clChBs-3_t00,Pacnes_C1,N707S524,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2015_Pool2/split,B:089-Ext-clChBs-2_t00,Pacnes_C1,N706S524,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2015_Pool2/split,B:089-Ext-clChBs-1_t00,Pacnes_C1,N705S524,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2015_Pool2/split,B:088-Ext-ccChBs-3_t00,Pacnes_C1,N707S523,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2015_Pool2/split,B:088-Ext-ccChBs-2_t00,Pacnes_C1,N706S523,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2015_Pool2/split,B:083-Ext-crNoBs-4_t00,Pacnes_C1,N712S523,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2015_Pool2/split,B:083-Ext-crNoBs-3_t00,Pacnes_C1,N711S523,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2015_Pool2/split,B:083-Ext-crNoBs-1_t00,Pacnes_C1,N709S523,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2015_Pool2/split,B:079-Ext-LcFoBs-3_t00,Pacnes_C1,N711S519,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2015_Pool2/split,B:079-Ext-LcFoBs-1_t00,Pacnes_C1,N709S519,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2015_Pool2/split,B:073-Scr-Ch-4_t00,Pacnes_C1,N716S503,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2015_Pool2/split,B:072-Scr-Rc-1_t00,Pacnes_C1,N713S504,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2015_Pool2/split,B:071-Scr-Lc-4_t00,Pacnes_C1,N716S505,6,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2015_Pool2/split,B:070-Scr-Fo-4_t00,Pacnes_C1,N716S502,6,
